Link,Titulo,Cuerpo,Autor,Fecha
https://cnnespanol.cnn.com/video/elecciones-referendum-chile-constitucion-mirador-mundial-rafael-romo-cristopher-ulloa-live-santiago/,Plebiscito constitucional en Chile,"['Este domingo, Chile decide el futuro de su Constitución. Mediante un plebiscito, los chilenos decidirán si mantienen la actual Constitución de la época de la dictadura o si se redacta una nueva Carta Magna. Cerca de 15 millones de personas estaban habilitadas para votar. Cristopher Ulloa nos trae la actualización desde de Santiago.']","['Cristopher Ulloa', 'Rafael Romo']",['2020-10-25']
https://cnnespanol.cnn.com/2020/09/01/fuerte-sismo-sacude-chile/,Fuerte sismo sacude Chile,"['(CNN Español) — Un sismo de magnitud preliminar 6,8 sacudió Chile a la medianoche del lunes a martes, de acuerdo con un reporte del Servicio Geológico de Estados Unidos.', 'El movimiento se ubicó a 75 kilómetros de Vallenar y tuvo una profundidad de 35 kilómetros.', 'Originalmente el USGS dijo que el sismo había sido de magnitud 7,0, pero posteriormente redujo la estimación.', 'Minutos más tarde en la misma zona se registró un segundo movimiento, este de magnitud 6,3 y una profundidad de 17 kilómetros, según otro reporte preliminar del USGS.', 'Por el momento no se reportan daños, de acuerdo con la Oficina Nacional de Emergencia del Ministerio del Interior y Seguridad Pública de Chile (ONEMI).', 'Preliminarmente, no se reportan daños a personas, alteración a servicios básicos o infraestructura producto de este sismo.', '— onemichile (@onemichile) September 1, 2020']",['CNN Español'],['2020/09/01']
https://cnnespanol.cnn.com/video/claudia-cortes-chile-pandemia-azaret-vive-la-salud-cnne/,La pandemia azota a Chile,"['Fuimos testigos de cómo Italia y España sufrieron el terrible embate del coronavirus. Chile ya rebasó a estos países en número de contagios y no se ha podido aplanar la curva. Sobre este tema conversó la Dra. Marisa Azaret con la infectóloga Claudia Cortés, en Vive la Salud.']",['Marisa Azaret'],['2020-06-30']
https://cnnespanol.cnn.com/2020/03/13/nace-el-otro-chile-opinion-brieger/,Nace el otro Chile,"['Nota del editor:\xa0Pedro Brieger es un periodista y sociólogo argentino, autor de más de siete libros y colaborador en publicaciones sobre temas internacionales. Actualmente se desempeña como director de NODAL, un portal dedicado exclusivamente a las\xa0noticias\xa0de América Latina y el Caribe. Colaboró con diferentes medios nacionales como Clarín, El Cronista, La Nación, Página/12, Perfil y para revistas como\xa0Noticias, Somos, Le Monde Diplomatique y Panorama. A lo largo de su trayectoria Brieger ganó importantes premios por su labor informativa en la radio y televisión argentina. Las opiniones expresadas en esta columna son exclusivas del autor.', '(CNN Español) — Este 11 de marzo de 2020, Chile conmemoró 30 años seguidos de democracia después de casi 17 de la dictadura comandada por el general Augusto Pinochet, quien lideró el golpe de Estado del 11 de septiembre de 1973.', 'En las calles de Santiago y en otras ciudades a lo largo del país, lo que menos primó fue un clima de fiesta democrática.', 'Paradójicamente, había tanquetas lanzando agua y gas lacrimógeno contra manifestantes que pedían la renuncia del presidente Sebastián Piñera y la profundización de la democracia. Por vía del plebiscito del próximo 26 de abril, proponen que una Convención Constitucional redacte una nueva carta magna. No es muy habitual que un país conmemore el retorno democrático con tanquetas en las calles.', 'Seguramente el día que Piñera decidió lanzar su candidatura para ser elegido presidente de Chile por segunda vez, pensó que su nuevo mandato no sería muy diferente del primero, entre 2010 y 2014. Salvo las protestas estudiantiles de 2011, aquellos fueron cuatro años de relativa tranquilidad, con Chile presentado como “modelo” de éxito económico y sin grandes turbulencias como las que vivían varios de sus países vecinos.', 'Piñera asumió nuevamente el 11 de marzo de 2018 y se encaminaba a cerrar 2019 con dos grandes eventos internacionales que le servirían para mostrar que -según sus propias palabras- “Chile era un oasis” en una América Latina convulsionada.', 'Pero el 18 de octubre de 2019, sorpresivamente, todo estalló por los aires. Miles de personas tomaron las calles para cuestionar el “modelo”, exigir profundos cambios y derogar la Constitución redactada durante la dictadura. Con mucho dolor, Piñera tomó la decisión de suspender la programada Conferencia de las Naciones Unidas sobre Cambio Climático y el Foro de Cooperación Económica Asia-Pacífico, lo que dañó justamente la imagen de Chile como “oasis” de estabilidad.', 'Este 11 de marzo, el presidente habló en el Palacio de La Moneda y reconoció que el 18 de octubre de 2019 “surgió una poderosa demanda ciudadana para avanzar con mayor intensidad y sentido de urgencia hacia una sociedad más justa, más inclusiva, con mayor equidad y con menos abusos y privilegios”. Estas palabras sonaban muy diferentes de aquellas que pronunció el 20 de octubre, cuando aseguró que «estamos en guerra contra un enemigo poderoso, implacable”. Finalmente, tuvo que reconocer que las demandas expresadas en las calles eran legítimas.', 'Chile ya no es el país que dejó Pinochet el 11 de marzo de 1990, pero tampoco el que querría dejar Sebastián Piñera.']",['Pedro Brieger'],['2020/03/13']
https://cnnespanol.cnn.com/video/manifestaciones-protestas-chile-aniversario-estallido-social-mirador-mundial-rafael-romo-culloa-cristopher-live-cnnee/,Manifestantes salen a las calles en Chile,"['En Chile, manifestantes volvieron a salir a las calles al conmemorarse un año del inicio de las protestas que solo se interrumpieron por la pandemia. Las exigencias son por mejores derechos sociales y una nueva Constitución. Cristopher Ulloa recorrió las calles de Santiago de Chile y nos trae todos los detalles.']","['Cristopher Ulloa', 'Rafael Romo']",['2020-10-18']
https://cnnespanol.cnn.com/2020/09/11/fuerte-sismo-sacude-el-norte-de-chile/,Fuerte sismo sacude el norte de Chile,"['(CNN Español) — Un sismo fuerte sacudió esta madrugada el norte de Chile.', 'El sismo de magnitud preliminar 6,3 y 40,4 km de profundidad se registró al Norte, Noreste de Tocopilla, Chile, según un reporte del Servicio Geológico de los Estados Unidos (USGS, por sus siglas en inglés).', 'De acuerdo con la cuenta en Twitter de la oficina nacional de Emergencia del Ministerio del Interior y Seguridad Pública de Chile, hasta el momento no se reportan daños debido a este sismo, ni en las infraestructuras o servicios básicos y tampoco se reportan heridos.']",['Daniel Silva'],['2020/09/11']
https://cnnespanol.cnn.com/video/chile-segunda-ola-salud-coronavirus-contagios-latinoamerica-covid/,Chile se alista para su reapertura económica,"['La pandemia por coronavirus no da tregua en América Latina. Mientras tanto, Chile suaviza sus medidas de cuarentena, pero las dudas por un rebrote crecen en el país.']",['CNN Español'],['2020-09-02']
https://cnnespanol.cnn.com/video/chile-2020-conflicto-sebastian-pinera-crisis-perspectivas-buenos-aires-cnnee/,¿Qué sucederá en Chile en 2020?,"['Fue un 2019 convulsionado en Chile. Luego de las medidas propuestas por el presidente Sebastián Piñera, la gente salió a la calle a protestar bajo el lema «Chile despertó». No se ha encontrado solución aún al conflicto. ¿Podría haber una resolución este año? El especialista en política internacional Ignacio Labaqui analiza la situación en Chile.']",['CNN Español'],['2020-01-02']
https://cnnespanol.cnn.com/2020/07/19/chile-anuncia-plan-paso-a-paso-para-desconfinamiento/,Chile anuncia plan “paso a paso” para desconfinamiento,"['(CNN Español) — El presidente de Chile, Sebastián Piñera, anunció este domingo el plan “Paso a Paso”, un conjunto de medidas que se aplicarán de forma paulatina en el país para avanzar hacia el desconfinamiento durante la crisis del nuevo coronavirus.', '“Hoy, después de cinco meses de pandemia y gracias al sacrifico de todos, estamos cumpliendo cinco semanas de mejoría. Durante estas cinco semanas, los casos diarios de contagios y el número enfermos activos han ido disminuyendo», afirmó Piñera desde el Palacio de La Moneda.', 'El programa será implementado a través de cinco etapas: cuarentena, transición, preparación, apertura inicial y apertura avanzada.', 'El mandatario confió en que esto «permitirá fortalecer el proceso de recuperación” de Chile, y advirtió sobre la posibilidad de retroceder en las medidas, en caso de que se registre un aumento en los contagios.', '“Este plan, que será con cautela, con prudencia, recogiendo las recomendaciones de la ciencia, de la OMS (Organización Mundial de la Salud), del Consejo Asesor, se va a aplicar de forma gradual y flexible, escuchando siempre a las comunidades y recogiendo siempre con atención, la realidad de cada comuna y región», recalcó Piñera.coronavirus Sebastián Piñera']",['Cristopher Ulloa'],['2020/07/19']
https://cnnespanol.cnn.com/en-vivo-multitudinarias-protestas-en-santiago-de-chile/,Multitudinarias protestas en Santiago de Chile,['Este evento ha concluido'],[],[]
